age,workclass,education,occupation,hours-per-week
60,Never-worked,Bachelors,Armed-Forces,42
30,Without-pay,Some-college,Transport-moving,49
51,Never-worked,1st-4th,Armed-Forces,45
29,Federal-gov,Assoc-voc,Priv-house-serv,42
53,Self-emp-not-inc,Doctorate,Handlers-cleaners,49
29,Self-emp-inc,1st-4th,Machine-op-inspct,71
46,Self-emp-inc,11th,Transport-moving,69
64,Never-worked,Assoc-acdm,Adm-clerical,69
66,Federal-gov,Prof-school,Adm-clerical,23
44,Private,1st-4th,Handlers-cleaners,24
32,Self-emp-not-inc,Assoc-acdm,Protective-serv,65
36,Local-gov,Preschool,Protective-serv,80
72,Local-gov,Assoc-voc,Protective-serv,43
60,Federal-gov,5th-6th,Farming-fishing,28
68,Self-emp-inc,11th,Craft-repair,38
32,Local-gov,5th-6th,Machine-op-inspct,66
56,Local-gov,Bachelors,Farming-fishing,20
62,Private,1st-4th,Protective-serv,27
66,Self-emp-not-inc,5th-6th,Priv-house-serv,30
24,Never-worked,7th-8th,Machine-op-inspct,23
70,Without-pay,Bachelors,Machine-op-inspct,63
57,Federal-gov,Prof-school,Machine-op-inspct,22
44,Self-emp-inc,HS-grad,Other-service,79
25,Self-emp-inc,11th,Tech-support,29
27,Private,10th,Sales,71
43,Private,12th,Protective-serv,78
66,Self-emp-not-inc,Bachelors,Prof-specialty,27
29,Self-emp-inc,10th,Other-service,68
36,Never-worked,Doctorate,Adm-clerical,69
64,Private,Assoc-acdm,Farming-fishing,22
56,Without-pay,Some-college,Handlers-cleaners,44
37,Never-worked,9th,Sales,80
37,Local-gov,9th,Sales,76
74,Never-worked,Some-college,Protective-serv,18
59,Self-emp-inc,Some-college,Sales,27
61,Never-worked,Bachelors,Tech-support,23
67,Federal-gov,Prof-school,Prof-specialty,30
47,Self-emp-inc,11th,Transport-moving,14
61,Private,HS-grad,Priv-house-serv,17
27,State-gov,HS-grad,Other-service,75
40,Local-gov,Bachelors,Transport-moving,50
44,Private,12th,Exec-managerial,63
64,Without-pay,Bachelors,Machine-op-inspct,45
53,State-gov,5th-6th,Sales,42
27,State-gov,7th-8th,Other-service,60
39,Private,Assoc-acdm,Armed-Forces,38
53,Private,Masters,Farming-fishing,41
35,Self-emp-not-inc,Preschool,Priv-house-serv,57
59,Self-emp-inc,5th-6th,Transport-moving,16
35,Local-gov,Assoc-acdm,Exec-managerial,45
28,Local-gov,Bachelors,Exec-managerial,60
57,Self-emp-not-inc,7th-8th,Armed-Forces,41
59,Self-emp-inc,Assoc-voc,Armed-Forces,41
20,Private,7th-8th,Exec-managerial,61
58,Federal-gov,Assoc-acdm,Farming-fishing,43
48,Self-emp-inc,Preschool,Craft-repair,78
62,Never-worked,Prof-school,Sales,78
73,Without-pay,Assoc-acdm,Sales,10
40,Federal-gov,5th-6th,Prof-specialty,35
36,Local-gov,Bachelors,Sales,35
46,Without-pay,Masters,Handlers-cleaners,51
50,Never-worked,9th,Armed-Forces,62
72,Federal-gov,Doctorate,Protective-serv,18
73,Federal-gov,Bachelors,Farming-fishing,57
70,Local-gov,7th-8th,Handlers-cleaners,44
35,Self-emp-not-inc,Doctorate,Adm-clerical,61
52,Never-worked,Doctorate,Handlers-cleaners,41
41,State-gov,9th,Prof-specialty,42
36,Self-emp-not-inc,Bachelors,Transport-moving,19
56,Federal-gov,Preschool,Other-service,37
33,State-gov,Masters,Protective-serv,15
30,State-gov,12th,Other-service,80
21,Self-emp-inc,Bachelors,Adm-clerical,70
68,Self-emp-not-inc,Bachelors,Craft-repair,70
29,Without-pay,Assoc-acdm,Sales,67
